,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match
15,RS01SUM2-MJ01B-05-CAMDSB103,2024,Images/Equipment_Photos/VISIONS24/MJ01B/CAMDSB103/CAMDSB103_2024/CAMDSB103_20240820_190026_predeploy.JPG,20149/20119,ATAPL-78437-00012,['ATAPL-78437-00012'],"[0.5, 0.56]","[' SUBC20149', 'SUBC20119']",,,True
16,RS01SUM2-MJ01B-00-OSMOIA101,2024,Images/Equipment_Photos/VISIONS24/MJ01B/CAMDSB103/CAMDSB103_2024/CAMDSB103_20240820_190026_predeploy.JPG,1,,['ATAPL-71444-00001'],,['1'],True,,True
17,RS01SUM2-MJ01B-00-FLOBNM101,2024,Images/Equipment_Photos/VISIONS24/MJ01B/FLOBNM101/FLOBNM101_2024/FLOBNM101_20240820_091940_predeploy.JPG,3,,['ATAPL-71444-00003'],,['3'],True,,True
18,RS01SUM2-MJ01B-00-FLOBNC101,2024,Images/Equipment_Photos/VISIONS24/MJ01B/FLOBNC101/FLOBNC101_2024/FLOBNC101_20240820_092049_predeploy.JPG,2,ATAPL-58334-00002,['ATAPL-71444-00002'],,['2'],True,,True
19,RS01SUM1-LJ01B-12-VEL3DB104,2024,,,,,,,,,
20,RS01SLBS-MJ01A-12-VEL3DB101,2024,Images/Equipment_Photos/VISIONS24/MJ01A/VEL3DB101/VEL3DB101_2024/VEL3DB101_20240809_125828_predeploy.JPG,,ATAPL-67979-00006,['ATAPL-67979-00006'],,,,True,True
21,RS01SLBS-LJ01A-12-DOSTAD101,2024,Images/Equipment_Photos/VISIONS24/LV01A/DOSTAD101/DOSTAD101_2024/DOSTAD101_20240814_091052_predeploy.JPG,475,ATAPL-58320-00014,['ATAPL-58320-00014'],,['475'],True,,True
22,RS01SLBS-LJ01A-05-HPIESA101,2024,Images/Equipment_Photos/VISIONS24/LV01A/HPIESA101/HPIESA101_2024/HPIESA101_20240814_131951_predeploy.JPG,308,,['ATAPL-58323-00002'],[0.75],[' 308'],,,True
23,RS01SBPS-SF01A-4F-PCO2WA101,2024,Images/Equipment_Photos/VISIONS24/SF01A/SF01A_2024/PCO2WA101_2024/PCO2WA101_20240809_074852_predeploy.JPG,C0091,ATAPL-58336-00004,['ATAPL-58336-00004'],,['C0091'],True,,True
24,RS01SBPS-SF01A-4B-VELPTD102,2024,Images/Equipment_Photos/VISIONS24/SF01A/SF01A_2024/VELPTD102_2024/VELPTD102_20240809_074756_predeploy.JPG,6389,ATAPL-70114-00003,['ATAPL-70114-00003'],[0.5],['AQS-6389'],,,True
25,RS01SBPS-SF01A-2D-PHSENA101,2024,Images/Equipment_Photos/VISIONS24/SF01A/SF01A_2024/PHSENA101_2024/PHSENA101_20240809_074442_predeploy.JPG,P0154,ATOSU-58337-00012,['ATOSU-58337-00012'],,['P0154'],True,,True
26,RS01SBPS-SF01A-2A-DOFSTA102,2024,Images/Equipment_Photos/VISIONS24/SF01A/SF01A_2024/DOFSTA102_2024/DOFSTA102_202,,ATAPL-58694-00003,['ATAPL-58694-00003'],,,,True,True
27,RS01SBPS-PC01A-4B-PHSENA102,2024,Images/Equipment_Photos/VISIONS24/PC01A/PC01A_2024/PHSENA102_2024/PHSENA102_20240808_215505_predeploy.JPG,P0164,ATAPL-58337-00014,['ATAPL-58337-00014'],,['P0164'],True,,True
28,RS01SBPS-PC01A-4A-DOSTAD103,2024,Images/Equipment_Photos/VISIONS24/PC01A/PC01A_2024/DOSTAD103_2024/DOSTAD103_20240808_215809_predeploy.JPG,,ATAPL-58320-0000,,,,,,
29,RS01SBPS-PC01A-08-HYDBBA103,2024,Images/Equipment_Photos/VISIONS24/PC01A/PC01A_2024/HYDBBA103_2024/HYDBBA103_20240808_215350_predeploy.JPG,1272,ATAPL-58324-00004,['ATAPL-58324-00004'],,['1272'],True,,True
30,RS01SBPS-PC01A-07-CAMDSC102,2024,Images/Equipment_Photos/VISIONS24/PC01A/PC01A_2024/CAMDSC102_2024/CAMDSC102_20240808_220032_predeploy.JPG,18901/18825,ATAPL-78438-00001,['ATAPL-78437-00001'],"[0.5, 0.5]","[' SUBC18901', ' SUBC18825']",,,True
31,CE04OSPS-SF01B-4F-PCO2WA102,2024,Images/Equipment_Photos/VISIONS24/SF01B/SF01B_2024/PCO2WA102_2024/PCO2WA102_20240808_151814_predeploy.JPG,C0117,ATAPL-58336-00008,['ATOSU-58336-00008'],,['C0117'],True,,True
32,CE04OSPS-SF01B-4B-VELPTD106,2024,Images/Equipment_Photos/VISIONS24/SF01B/SF01B_2024/VELPTD106_2024/VELPTD106_20240808_153315_predeploy.JPG,7205,ATAPL-70114-00006,"['ATAPL-70114-00006', 'ATAPL-66662-00002']","[0.31, 0.5]","['16P71179-7205', 'AQS-7205']",,,True
33,CE04OSPS-SF01B-2B-PHSENA108,2024,Images/Equipment_Photos/VISIONS24/SF01B/SF01B_2024/PHSENA108_2024/PHSENA108_20240808_152653_predeploy.JPG,P0133,ATAPL-58337-00006,['ATAPL-58337-00006'],,['P0133'],True,,True
34,CE04OSPS-SF01B-2A-DOFSTA107,2024,Images/Equipment_Photos/VISIONS24/SF01B/SF01B_2024/DOFSTA107_2024/DOFSTA107_20240808_153214_predeploy.JPG,43-3136,,['ATOSU-58694-00007'],,['43-3136'],True,,True
35,CE04OSPS-PC01B-4D-PCO2WA105,2024,Images/Equipment_Photos/VISIONS24/PC01B/PC01B_2024/PCO2WA105_2024/PCO2WA105_20240808_144328_predeploy.JPG,C0079,ATOSU-58336-00006,['ATOSU-58336-00006'],,['C0079'],True,,True
36,CE04OSPS-PC01B-4B-PHSENA106,2024,Images/Equipment_Photos/VISIONS24/PC01B/PC01B_2024/PHSENA106_2024/PHSENA106_20240808_143832_predeploy.JPG,P0115,ATOSU-58337-00007,['ATOSU-58337-00007'],,['P0115'],True,,True
37,CE04OSPS-PC01B-4A-DOSTAD109,2024,,,,,,,,,
38,CE04OSPS-PC01B-05-ZPLSCB102,2024,Images/Equipment_Photos/VISIONS24/PC01B/PC01B_2024/ZPLSCB102_2024/ZPLSCB102_20240808_144603_predeploy.JPG,4/189,,['ATAPL-71444-00004'],,['4'],True,,True
39,CE04OSBP-LV01C-06-CAMDSB106,2024,Images/Equipment_Photos/VISIONS24/LV01C/CAMDSB106/CAMDSB106_2024/CAMDSB106_20240819_160431_predeploy.JPG,20161/20145,,['ATAPL-78437-00013'],"[0.5, 0.5]","[' SUBC20161', ' SUBC20145']",,,True
40,CE04OSBP-LJ01C-11-HYDBBA105,2024,Images/Equipment_Photos/VISIONS24/LV01C/LJ01C/LJ01C_2024/HYDBBA105_2024/HYDBBA105_20240818_215805_predeploy.JPG,1249,ATAPL-58324-00015,['ATOSU-58324-00015'],,['1249'],True,,True
41,CE04OSBP-LJ01C-10-PHSEND107,2024,Images/Equipment_Photos/VISIONS24/LV01C/LJ01C/LJ01C_2024/PHSEND107_2024/PHSEND107_202,P0117,ATOSU-70571-00002,['ATOSU-70571-00002'],,['P0117'],True,,True
42,CE04OSBP-LJ01C-09-PCO2WB104,2024,Images/Equipment_Photos/VISIONS24/LV01C/LJ01C/LJ01C_2024/PCO2WB104_2024/PCO2WB104_2,C0064,ATOSU-70570-00001,['ATOSU-70570-00001'],,['C0064'],True,,True
43,CE04OSBP-LJ01C-07-VEL3DC107,2024,Images/Equipment_Photos/VISIONS24/LV01C/LJ01C/LJ01C_2024/VEL3DC107_2024/VEL3DC107_20240818_220312_predeploy.JPG,4940/8159,ATOSU-69829-00004,['ATOSU-69829-00004'],"[0.5, 0.44]","['VEC-4940', ' VEC-8159']",,,True
44,CE04OSBP-LJ01C-06-DOSTAD108,2024,Images/Equipment_Photos/VISIONS24/LV01C/LJ01C/LJ01C_2024/DOSTAD108_2024/DOSTAD108_20240818_220219_predeploy.JPG,133,ATOSU-58320-00021,['ATOSU-58320-00021'],,['133'],True,,True
45,CE02SHBP-MJ01C-08-CAMDSB107,2024,Images/Equipment_Photos/VISIONS24/MJ01C/CAMDSB107_2024/CAMDSB107_20240815_161937_predeploy.JPG,20159/20160,,['ATAPL-78437-00010'],"[0.5, 0.5]","[' SUBC20159', ' SUBC20160']",,,True
46,CE02SHBP-MJ01C-07-ZPLSCB101,2024,Images/Equipment_Photos/VISIONS24/MJ01C/ZPLSCB101_2024/ZPLSCB101_20240817_135309_predeploy.JPG,190/222,,"['ATAPL-78437-00005', 'ATAPL-58345-00003', 'ATOSU-69826-00002', 'ATAPL-78437-00007', 'ATAPL-58345-00002', 'ATAPL-78437-00006', 'ATAPL-70114-00006', 'ATAPL-78437-00008', 'ATAPL-78437-00010', 'ATAPL-78437-00009']","[0.6, 0.33, 0.33, 0.33, 0.3, 0.3, 0.33, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.6, 0.6, 0.3]","['19003', 'SUBC19005', 'SUBC19006', 'SUBC19007', ' SUBC19034', ' SUBC19035', 'SUBC19008', ' SUBC19032', ' SUBC19033', ' SUBC19048', ' SUBC19014', ' SUBC19022', ' SUBC19011', ' SUBC19023', '19073', '19075', ' AQD-12227']",,,True
47,CE02SHBP-LJ01D-11-HYDBBA106,2024,Images/Equipment_Photos/VISIONS24/MJ01C/LJ01D_2024/HYDBBA106_2024/HYDBBA106_20240817_133234_predeploy.JPG,48,,"['ATAPL-67639-00006', 'ATAPL-58345-00005', 'ATAPL-58694-00002', 'ATOSU-58324-00014', 'ATAPL-58346-00004', 'ATOSU-69827-00003', 'ATAPL-58320-00016', 'ATAPL-69943-00008', 'ATAPL-78437-00009']","[0.2, 0.15, 0.29, 0.67, 0.5, 0.67, 0.17, 0.4, 0.5]","[' SUBC19048', '16P71879-7248', '43-2484', '487', '1248', '248', '5471540-0048', '23248', '1148']",,,True
48,CE02SHBP-LJ01D-10-PHSEND103,2024,Images/Equipment_Photos/VISIONS24/MJ01C/LJ01D_2024/PHSEND103_2024,P0159,ATOSU-70571-00004,['ATOSU-70571-00004'],,['P0159'],True,,True
49,CE02SHBP-LJ01D-09-PCO2WB103,2024,Images/Equipment_Photos/VISIONS24/MJ01C/LJ01D_2024/PCO2WB103_2024/20240817_133436.JPG,C0080,ATOSU-70570-00002,['ATOSU-70570-00002'],,['C0080'],True,,True
50,CE02SHBP-LJ01D-07-VEL3DC108,2024,Images/Equipment_Photos/VISIONS24/MJ01C/LJ01D_2024/VEL3DC108_2024/VEL3DC108_20240817_133850_predeploy.JPG,8167,ATAPL-69829-00003,['ATOSU-69829-00003'],[0.44],[' VEC-8167'],,,True
51,CE02SHBP-LJ01D-06-DOSTAD106,2024,Images/Equipment_Photos/VISIONS24/MJ01C/LJ01D_2024/DOSTAD106_2024/DOSTAD106_20240817_133101_predeploy.JPG,216,ATAPL-58320-00020,['ATOSU-58320-00020'],,['216'],True,,True
